pdf_page,render_path,full_text
1,page_renders/p01_render.png,
2,page_renders/p02_render.png,姓名 生日 血型 家庭住址 住宅电话 手提电话 办公地址 办公电话 传真 电子邮箱 邮编 如蒙拾获，请惠寄上址，至为感谢！ 个 人 资 料
3,page_renders/p03_render.png,故宫博物院 天坛公园 北京动物园 北京奥林匹克公园 北京欢乐谷 北京植物园 中央广播电视塔 中国抗日战争纪念馆 周口店遗址博物馆 北京韩美林艺术馆 北京国际鲜花港 中国航空博物馆 定陵博物馆 金海湖 慕田峪长城 张裕爱斐堡国际酒庄 北京野鸭湖国家湿地公园 东城区第一文化馆 西城区第一文化馆 朝阳区文化馆 丰台区文化馆 房山区文化馆 通州区文化馆 顺义区文化馆 大兴区文化馆 昌平区文化馆 怀柔区文化馆 密云区文化馆 平谷区文化馆 延庆区文化馆 66 68 69 71 72 73 74 75 76 77 78 79 80 目 录 CONTENTS 首都图书馆 东城区第一图书馆 西城区第一图书馆 朝阳区图书馆 丰台区图书馆 海淀区图书馆（北馆） 石景山区图书馆 门头沟区图书馆 44 46 47 48 49 51 52 53 04 42 64 81 06 前 言 优秀无障碍景区介绍 优秀无障碍图书馆介绍 优秀无障碍文化馆介绍 无障碍文化旅游线路推荐 08 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 房山区图书馆 通州区图书馆 顺义区图书馆 大兴区图书馆 昌平区图书馆 怀柔区图书馆 密云区图书馆 平谷区图书馆 延庆区图书馆 54 55 56 57 58 59 60 62 63
4,page_renders/p04_render.png,4 5 北京市残障人士文化旅游 资源手册 优秀无障碍景区介绍 目前我国残障人士旅游市场处于起步阶段，无障碍设施是残疾人游客出行时考虑 的首要因素。无障碍设施是展现城市精神文明的一个窗口，影响着城市文明形象的塑 造与传播。北京市文化和旅游局以残障人士旅游需求为出发点，深度整合北京市各区 文化旅游资源点，将便利化服务融入到旅游公共服务中去。 为加强残疾人公共文化服务，丰富残疾人精神文化生活，更好地推进残疾人旅游 事业发展，促进文化旅游公共服务的创新升级，北京市文化和旅游局联合无障碍建设 业内专家和残疾人社团，对北京市文化旅游资源点进行了调研考察，将优秀资源点的 特色、无障碍设施情况、残障人士接待服务等内容做了系统归纳整理，集结成册。 本《手册》系统介绍了北京市优秀无障碍文化旅游资源点建设情况和服务接待的 内容，旨在为残障人士提供一本北京市文化旅游出行指南，鼓励残障人士走出家门， 感受城市的温暖，让旅游无障碍成为一种常态。 前 言
5,page_renders/p05_render.png,6 北京市残障人士文化旅游 资源手册 优 秀 无 障 碍 景 区 介 绍
6,page_renders/p06_render.png,8 9 北京市残障人士文化旅游 资源手册 优秀无障碍景区介绍 无障碍信息 景区无障碍游览线路 参观指南 门票信息： 大门门票：残疾人凭残疾人证件，免票参观。 钟表馆、珍宝馆门票：残疾人凭残疾人证件， 免票参观。 注：每周一闭馆 开放时间： 旺季 4.1-10.31 淡季 11.1-3.31 开始售票 开放进馆时间 8:30 开始售票 开放进馆时间 8:30 止票时间 （含钟表馆、 珍宝馆） 16:00 止票时间 （含钟表馆、 珍宝馆） 15:30 停止入馆时间 16:10 停止入馆时间 15:40 闭馆时间 17:00 闭馆时间 16:30 信息名称 是 否 景区是否有无障碍出入口 √ 景区是否有游客服务中心和低位服务台 √ 展厅、陈列室、剧场是否有轮椅席位 √ 景区内是否有无障碍厕所 √ 景区内是否标有无障碍设施位置 √ 是否有无障碍停车服务 √ 北京故宫是北京市优秀无障碍景区之一，在景区 的主出人口及各馆的出入口处均设有无障碍坡道和连 贯扶手设施。此外在游客中心设有低位服务台和残障 人士专用休息区，并且提供轮椅和紧急医疗箱等服务。 景区内设有多处无障碍卫生间，内部设施设备完 善，提供无障碍坐便器、安全扶手、儿童坐便器、儿 童洗手池等。 景区多处设有全景导览信息图和局部景区信息导 览图，并标有无障碍设施位置。 北京故宫设有一条贯穿南北的无障碍游览路线， 南起端门，北至神武门，途径太和殿、乾清宫、御花 园等主要景点。游览时间大约需要1.5 小时至2 小时。 北京故宫是中国明清两代的皇家宫殿，旧称紫禁 城，位于北京中轴线的中心，是中国古代宫廷建筑之 精华。北京故宫以三大殿为中心，占地面积72 万平 方米，建筑面积约15 万平方米，有大小宫殿七十多座， 房屋九千余间。是世界上现存规模最大、保存最为完 整的木质结构古建筑之一。 北京故宫于明成祖永乐四年（1406 年）开始建设， 以南京故宫为蓝本营建，到永乐十八年（1420年）建成。 它是一座长方形城池，南北长961 米，东西宽753 米， 四面围有高10 米的城墙，城外有宽52 米的护城河。 紫禁城内的建筑分为外朝和内廷两部分。外朝的中心 为太和殿、中和殿、保和殿，统称三大殿，是国家举 行大典礼的地方。内廷的中心是乾清宫、交泰殿、坤 宁宫，统称后三宫，是皇帝和皇后居住的正宫。 北京故宫被誉为世界五大宫之首（法国凡尔赛宫、 英国白金汉宫、美国白宫、俄罗斯克里姆林宫），是 国家AAAAA 级旅游景区，1961 年被列为第一批全国 重点文物保护单位；1987 年被列为世界文化遗产。 故宫博物院 联系方式 地址：西城区景山前街4 号。 邮编：100009 实用信息 网站二维码 微博二维码 公众号二维码
7,page_renders/p07_render.png,10 11 北京市残障人士文化旅游 资源手册 优秀无障碍景区介绍 参观指南 门票信息： 残疾人持残疾证免收入园门票（不含园中园） 开放时间： 旺季 4.1-10.31 淡季 11.1-3.31 公园大门 旺季开放时间6:00-21:00 淡季开放时间6:30-21:00 静园时间：22 点 景点：（含祈年殿、回音壁圜丘、神乐署） 旺季开放时间8:00-17:30 淡季开放时间8:00-17:00 北神厨、北宰牲亭、斋宫： 开放时间：每周二至周日上午9:00—12:00 下午 13:00—16:00 无障碍信息 信息名称 是 否 景区是否有无障碍出入口 √ 景区是否有游客服务中心和低位服务台 √ 展厅、陈列室、剧场是否有轮椅席位 √ 景区内是否有无障碍厕所 √ 景区内是否标有无障碍设施位置 √ 是否有无障碍停车服务 √ 天坛公园于景区出入口安检处设有轮椅专用通 道，各个景点入口处设有无障碍坡道和连贯扶手。景 区游客中心设有低位服务台、紧急医疗箱，提供轮椅 租借服务，并且设置了母婴室。 景区无障碍游览线路 天坛公园设有无障碍游览线路，南起昭亨门，北 至北天门，中间途径圜丘、皇穹宇、祈年殿等热门景点， 游览时间约为1.5 小时至2 小时。 景区内设有多处无障碍卫生间，内部设施设备基 本完善，提供无障碍坐便器、安全扶手、低位洗手池等。 同时天坛公园内设有多处全景图和信息指示牌， 全景图中标有无障碍设施位置。 天坛公园东、南、西门均设有停车场，划设了无 障碍车位，提供无障碍停车服务。 天坛是明清两代皇帝“祭天”“祈谷”的场所， 位于正阳门外东侧。坛域北呈圆形，南为方形，寓意 “天圆地方”。四周环筑坛墙两道，把全坛分为内坛、 外坛两部分，总面积273 公顷，主要建筑集中于内坛。 内坛以墙分为南北两部。北为“祈谷坛”，用于 春季祈祷丰年，中心建筑是祈年殿。南为“圜丘坛”， 专门用于“冬至”日祭天，中心建筑是一巨大的圆形 石台，名“圜丘”。两坛之间以一长360 米，高出地 面的甬道——丹陛桥相连，共同形成一条南北长1200 米的天坛建筑轴线，两侧为大面积古柏林。 西天门内南侧建有“斋宫”，是祀前皇帝斋戒的 居所。西部外坛设有“神乐署”，掌管祭祀乐舞的教 习和演奏。坛内主要建筑有祈年殿、皇乾殿、圜丘、 皇穹宇、斋宫、无梁殿、长廊、双环万寿亭等，还有 回音壁、三音石、七星石等名胜古迹。 天坛始建于明·永乐十八年（1420），又经明·嘉靖、 清·乾隆等朝增建、改建，建筑宏伟壮丽，环境庄严肃穆。 新中国成立后，国家对天坛的文物古迹投入大量的资 金，进行保护和维修。历尽沧桑的天坛以其深刻的文 化内涵、宏伟的建筑风格，成为东方古老文明的写照。 天坛集明、清建筑技艺之大成，是中国古建珍品， 是世界上最大的祭天建筑群。1961 年，国务院公布天 坛为“全国重点文物保护单位”。1998 年被联合国教 科文组织确认为“世界文化遗产”。 天坛公园 联系方式 地址：北京市东城区天坛内东里7 号 邮编：100061 联系电话：010-67012483（白天） 010-67013036（夜间） 实用信息 网站二维码 微博二维码 公众号二维码
8,page_renders/p08_render.png,12 13 北京市残障人士文化旅游 资源手册 优秀无障碍景区介绍 无障碍信息 信息名称 是 否 景区是否有无障碍出入口 √ 景区是否有游客服务中心和低位服务台 √ 展厅、陈列室、剧场是否有轮椅席位 √ 景区内是否有无障碍厕所 √ 景区内是否标有无障碍设施位置 √ 是否有无障碍停车服务 √ 北京动物园在各个出入口设置了无障碍通道，在 各个主场馆均设置了无障碍坡道和连贯的扶手，保证 轮椅乘坐者出入。景区的游客服务中心设置在南门入 口处，其内设置了低位服务台，并提供轮椅、紧急医 疗箱等服务。园内的展厅面积宽敞，并设有轮椅席位。 景区内设有13 处卫生间，其中7 处设有独立的家庭 卫生间，其内设施设备齐全，并标有清晰的无障碍卫 生间标识。其余4 处卫生间内包含有无障碍厕间。 景区无障碍游览线路 北京动物园内游览道路基本为平坦的游步道，各 个场馆的出入口处均设置了无障碍坡道和连贯扶手， 残障人士基本可以抵达景区内的各个场馆。 景区入口处设有全景图，在各个场馆外及行人游 步道旁均设有信息导览图。北京动物园提供无障碍停 车服务，停车场设置在南门入口处，停车场内划设了 无障碍停车位并标有无障碍标识。 北京动物园始建于1906 年，在西直门外乐善园、 继园和广善寺、惠安寺“两园、两寺”旧址上的清“农 事试验场”内，由商部奉旨筹建。园内由动物园、植 物园、农事试验三部分组成。最早的动物园位于园内 东侧，占地1.5 公顷，是中国对公众开放最早的动物 园和华北地区对公众开放最早的公园。据考此地也是 中国现代动物园、植物园、博物馆的发祥地。 北京动物园于1955 年正式定名，目前占地面积 约90 公顷，展出珍稀野生动物约500 种，5000 余只， 年接待国内外游客500 万人次，发挥着国家动物园功 能。北京动物园秉承“教育保护并举，安全服务并重” 的工作理念，围绕北京建设世界城市目标，努力打造 成为面向国内游客展示首都风采，面向国外游客展示 中国形象的北京名片。北京动物园是国家重点公园、 国家重点文物保护单位、全国科普教育基地、全国4A 级景区。 斗转星移，物换景迁，往昔试验场，今日动物园。 山石古建，廊桥亭榭，河泉陂池，花草藤树，爬虫游 鱼，走兽飞禽，济济一堂，相得益彰。科学研究、保 护教育、文化交流、知识传播、文物荟萃，功能齐全。 少儿发其天真，成人觅其童趣。春花秋月，夏风冬雪， 扶老携幼，络绎不绝，天伦同享，古园新晖。 北京动物园 联系方式 地址：北京市西城区西直门外大街137 号 邮编：100044 联系电话：010-68390274 实用信息 网站二维码 微博二维码 公众号二维码 参观指南 门票信息： 残疾人持残疾证免收入园门票（不包含园中园门票） 开放时间： 4 月1 日——10 月31 日 7：30——18：00 11 月1 日——3 月31 日 7：30——17：00
9,page_renders/p09_render.png,14 15 北京市残障人士文化旅游 资源手册 优秀无障碍景区介绍 无障碍信息 信息名称 是 否 景区是否有无障碍出入口 √ 景区是否有游客服务中心和低位服务台 √ 展厅、陈列室、剧场是否有轮椅席位 √ 景区内是否有无障碍厕所 √ 景区内是否标有无障碍设施位置 √ 是否有无障碍停车服务 √ 北京奥林匹克公园出入口处安检处设置了无障碍 专用通道，可供轮椅乘坐者无障碍出入。各个场馆出 入口处均设置了坡道与连贯扶手，安检处专门为残障 人士设置了无障碍通道。 景区设有多处游客服务中心，有低位服务台，提 供免费的轮椅外借服务，同时还提供各个场馆的宣传 手册、紧急医疗救助箱等。 各个场馆内的看台区域，游客通行的道路可容纳 轮椅进出，同时有为轮椅乘坐者划设的观看区域。 景区内设有多处无障碍卫生间和母婴室，内部设 景区无障碍游览线路 北京奥林匹克公园内道路基本为平坦游步道，残 障人士从景区入口处进入后，可以游览至公园内各处。 有坐便器、低位洗手池、安全扶手、紧急呼叫按钮、 多功能辅助台等设施设备。 景区提供无障碍停车服务，停车场内划设了无障 碍停车位，并标有清晰的无障碍标识。 北京奥林匹克公园位于北京市朝阳区，地处北京 城中轴线北端，北至清河南岸，南至北土城路，东至 安立路和北辰东路，西至林翠路和北辰西路，总占地 面积11.59 平方千米，集中体现了“科技、绿色、人文” 三大理念，是融合了办公、商业、酒店、文化、体育、 会议、居住多种功能的新型城市区域 。 2008 年奥运会比赛期间，有鸟巢、水立方、国 家体育馆、国家会议中心击剑馆、奥体中心体育场、 奥体中心体育馆、英东游泳馆、奥林匹克公园射箭 场、奥林匹克公园网球场、奥林匹克公园曲棍球场等 10 个奥运会竞赛场馆。此外，还包括奥运主新闻中心 （MPC）、国际广播中心（IBC）、奥林匹克接待中心、 奥运村（残奥村）等在内的7 个非竞赛场馆 ，是包含 体育赛事、会展中心、科教文化、休闲购物等多种功 能在内的综合性市民公共活动中心。 北京奥林匹克公园 联系方式 地址：北京奥林匹克公园位于北京市朝阳区，地处 北京城中轴线北端，北至清河南岸，南至北土城路， 东至安立路和北辰东路，西至林翠路和北辰西路。 联系电话：010-84992008 实用信息 参观指南 门票信息：无 开放时间：园区：6:00-22:00 水立方二维码 公园二维码
10,page_renders/p10_render.png,"16 17 北京市残障人士文化旅游 资源手册 优秀无障碍景区介绍 参观指南 门票信息： 持国家残联颁发第二代《残疾证》的残疾人免票。 盲人、智障、生活不能自理的残疾人需家人（需购 票）陪同入园。 开放时间： 开闭园时间：8:30-22:00 注：当日设备开放情况依据天气情况动态调整，请 以现场公告为准。 无障碍信息 信息名称 是 否 景区是否有无障碍出入口 √ 景区是否有游客服务中心和低位服务台 √ 展厅、陈列室、剧场是否有轮椅席位 √ 景区内是否有无障碍厕所 √ 景区内是否标有无障碍设施位置 √ 是否有无障碍停车服务 √ 北京欢乐谷景出入口处设有专用无障碍通道，可 用残障人士方便通行。游客中心设置在入园检票处外 侧，内设低位服务台、当日设备动态调整信息表，提 供免费的轮椅外借及紧急医疗救助箱服务等。景区内 设有多处无障碍卫生间，内部设施设备完善。北京欢 乐谷提供无障碍停车服务，停车场内专门划设了一定 数量的无障碍停车位以供残障人士使用。 景区无障碍游览线路 北京欢乐谷内道路基本为平坦游步道，整体游览 线路呈环形闭合状。在景区出入口处、各个主题区内 的公共服务点均设有无障碍坡道和连贯扶手，残障人 士可以由东南口入园，自东向西环形游览整个园区。 北京欢乐谷是国家AAAA 级旅游景区、新北京 十六景、北京文化创意产业基地，由华侨城集团创办， 是集国际化、现代化的主题公园。 公园分别由"" 峡湾森林、爱琴港、失落玛雅、香 格里拉、甜品王国、远古文明• 亚特兰蒂斯、欢乐时 光"" 等七大文化主题区组成，占地56 万平方米，通 过主题文化包装及故事演绎，以建筑、雕塑、园林、 壁画、表演、游乐等多种形式，向游客展示了一个多 姿多彩的地球生态环境与地域文化，园区内精选世界 北京欢乐谷 联系方式 地址：北京市朝阳区东四环小武基北路 邮编：100023 联系电话：010-67383333 实用信息 网站二维码 微博二维码 公众号二维码 经典文明和创意智慧，精心设置了50 多台套主题游 乐设施、100 余处人文景观，营造了一个神秘、梦幻 的世界。30 多万平方米的绿化、8 万平方米的湖面赋 予欢乐谷良好的生态环境；七大主题区域赋予欢乐谷 独特的人文气质；国际国内双重标准的安全检测、人 性化的服务配套和智能化的全园信息系统赋予欢乐谷 更高的品质。"
