id,audience,sourceType,title,type,district,address,time,summary,reason,tags,image,actionText,mapUrl,officialUrl,verifyStatus,priority
aud-学生-BJ-CULT-001,学生,resource,北京市东城区图书馆,公共图书馆,东城区,北京市东城区交道口东大街85号,周二至周日9:00-21:00（每周一闭馆） 法定节假日开放时间 9:00-17:00,晚间开放到21:00，适合课后阅读、自习和参加公共讲座。,晚间开放到21:00，适合课后阅读、自习和参加公共讲座。,阅读学习; 免费低价; 学生友好,/assets/placeholders/reading-default.png,查看资源,https://map.baidu.com/search/%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%20%E5%8C%97%E4%BA%AC,https://www.baidu.com/s?wd=%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99,needs_check,90
aud-学生-BJ-CULT-008,学生,resource,北京市西城区图书馆（北址）,公共图书馆,西城区,西城区后广平胡同26号,周一：闭馆；周二至周五：09:00-20:30、周六、周日：09:00-17:30,工作日开放到20:30，适合论文资料查找和稳定自习。,工作日开放到20:30，适合论文资料查找和稳定自习。,阅读空间; 学习友好; 地铁友好,/assets/placeholders/reading-default.png,查看资源,https://map.baidu.com/search/%E5%8C%97%E4%BA%AC%E5%B8%82%E8%A5%BF%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%EF%BC%88%E5%8C%97%E5%9D%80%EF%BC%89%20%E5%8C%97%E4%BA%AC,https://www.baidu.com/s?wd=%E5%8C%97%E4%BA%AC%E5%B8%82%E8%A5%BF%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%EF%BC%88%E5%8C%97%E5%9D%80%EF%BC%89%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99,needs_check,86
aud-学生-BJ-CULT-029,学生,resource,北京市东城区文化馆,文化馆,东城区,北京市东城区交道口东大街111号,常年免费开放时间为每日9:00至21:30（双休日、节假日正常开放）,常年免费开放，适合学生参与公益课程、展览和社群文化活动。,常年免费开放，适合学生参与公益课程、展览和社群文化活动。,公益实践; 文艺活动; 免费活动,/assets/placeholders/resource-default.png,查看资源,https://map.baidu.com/search/%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E6%96%87%E5%8C%96%E9%A6%86%20%E5%8C%97%E4%BA%AC,https://www.bjwhy.org.cn/p_index.html#/index/venue,needs_check,84
aud-学生-BJ-CULT-004,学生,resource,北京市东城区图书馆王府井书店分馆,公共图书馆,东城区,北京市东城区王府井大街218号,周一至周日 10:00-20:00 节假日 10:00-18:00,位于王府井商圈，适合逛街前后顺路阅读与轻学习。,位于王府井商圈，适合逛街前后顺路阅读与轻学习。,阅读空间; 城市漫游; 学生友好,/assets/placeholders/reading-default.png,查看资源,https://map.baidu.com/search/%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%8E%8B%E5%BA%9C%E4%BA%95%E4%B9%A6%E5%BA%97%E5%88%86%E9%A6%86%20%E5%8C%97%E4%BA%AC,https://www.baidu.com/s?wd=%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%8E%8B%E5%BA%9C%E4%BA%95%E4%B9%A6%E5%BA%97%E5%88%86%E9%A6%86%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99,needs_check,75
aud-学生-event-17,学生,event,2026北京亲子儿童音乐会,儿童亲子,北京市,三里屯爱乐汇艺术空间城市演奏厅,2026-05-04 10:30（一）,三里屯爱乐汇艺术空间城市演奏厅 · 儿童音乐会。适合作为课余文化体验或艺术通识拓展。,适合作为课余文化体验或艺术通识拓展。,学生研学; 音乐爱好; 课余活动,/assets/placeholders/event-default.png,查看演出,https://map.baidu.com/search/三里屯爱乐汇艺术空间城市演奏厅,https://www.baidu.com/s?wd=三里屯爱乐汇艺术空间城市演奏厅 2026北京亲子儿童音乐会,needs_check,70
aud-学生-event-71,学生,event,男儿当自强·燃动起势——国潮破界·中西乐器和鸣音乐,音乐现场,北京市,梅兰芳大剧院大剧场,2026-05-04 14:00（一）,梅兰芳大剧院大剧场 · 音乐会。适合作为课余文化体验或艺术通识拓展。,适合作为课余文化体验或艺术通识拓展。,学生研学; 音乐爱好; 课余活动,/assets/placeholders/event-default.png,查看演出,https://map.baidu.com/search/梅兰芳大剧院大剧场,https://www.baidu.com/s?wd=梅兰芳大剧院大剧场 男儿当自强·燃动起势——国潮破界·中西乐器和鸣音乐,needs_check,70
aud-上班族-BJ-CULT-001,上班族,resource,北京市东城区图书馆,公共图书馆,东城区,北京市东城区交道口东大街85号,周二至周日9:00-21:00（每周一闭馆） 法定节假日开放时间 9:00-17:00,晚间开放时间较长，适合下班后阅读、充电或短暂停留。,晚间开放时间较长，适合下班后阅读、充电或短暂停留。,下班后; 阅读空间; 低成本,/assets/placeholders/reading-default.png,查看资源,https://map.baidu.com/search/%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%20%E5%8C%97%E4%BA%AC,https://www.baidu.com/s?wd=%E5%8C%97%E4%BA%AC%E5%B8%82%E4%B8%9C%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99,needs_check,88
aud-上班族-BJ-CULT-008,上班族,resource,北京市西城区图书馆（北址）,公共图书馆,西城区,西城区后广平胡同26号,周一：闭馆；周二至周五：09:00-20:30、周六、周日：09:00-17:30,工作日晚间可用，适合通勤后安静阅读和自我提升。,工作日晚间可用，适合通勤后安静阅读和自我提升。,下班后; 安静阅读; 学习充电,/assets/placeholders/reading-default.png,查看资源,https://map.baidu.com/search/%E5%8C%97%E4%BA%AC%E5%B8%82%E8%A5%BF%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%EF%BC%88%E5%8C%97%E5%9D%80%EF%BC%89%20%E5%8C%97%E4%BA%AC,https://www.baidu.com/s?wd=%E5%8C%97%E4%BA%AC%E5%B8%82%E8%A5%BF%E5%9F%8E%E5%8C%BA%E5%9B%BE%E4%B9%A6%E9%A6%86%EF%BC%88%E5%8C%97%E5%9D%80%EF%BC%89%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99,needs_check,84
aud-上班族-BJ-CULT-030,上班族,resource,北京市西城区文化馆,文化馆,西城区,西城区西直门内大街147号,周一至周日：08:00-22:00,开放至晚间，适合下班后参与文艺课程、展览或社区文化活动。,开放至晚间，适合下班后参与文艺课程、展览或社区文化活动。,夜间活动; 公共文化; 低成本,/assets/placeholders/resource-default.png,查看资源,https://map.baidu.com/search/%E5%8C%97%E4%BA%AC%E5%B8%82%E8%A5%BF%E5%9F%8E%E5%8C%BA%E6%96%87%E5%8C%96%E9%A6%86%20%E5%8C%97%E4%BA%AC,https://www.bjwhy.org.cn/p_index.html#/index/venue,needs_check,82
aud-上班族-BJ-CULT-031,上班族,resource,朝阳区文化馆,文化馆,朝阳区,朝阳区朝外小庄金台里17号,9:00—21：00,面向公众开放，适合在工作生活圈附近参加文化体验。,面向公众开放，适合在工作生活圈附近参加文化体验。,工作圈; 公共文化; 轻参与,/assets/placeholders/resource-default.png,查看资源,https://map.baidu.com/search/%E6%9C%9D%E9%98%B3%E5%8C%BA%E6%96%87%E5%8C%96%E9%A6%86%20%E5%8C%97%E4%BA%AC,https://www.bjwhy.org.cn/p_index.html#/index/venue,needs_check,76
aud-上班族-event-202,上班族,event,周中开放麦周末精选秀,喜剧脱口秀,北京市,南阳共享际剧场,2026-05-04 18:00（一）,南阳共享际剧场 · 脱口秀。晚间场次更适合下班后放松和社交。,晚间场次更适合下班后放松和社交。,下班后; 轻松社交; 夜间演出,/assets/placeholders/event-default.png,查看演出,https://map.baidu.com/search/南阳共享际剧场,https://www.baidu.com/s?wd=南阳共享际剧场 周中开放麦周末精选秀,needs_check,72
aud-上班族-event-206,上班族,event,【前门脱口秀】爆笑解压专场,喜剧脱口秀,北京市,三喜剧场(曼联梦剧场店),2026-05-04 18:00（一）,三喜剧场(曼联梦剧场店) · 脱口秀。晚间场次更适合下班后放松和社交。,晚间场次更适合下班后放松和社交。,下班后; 轻松社交; 夜间演出,/assets/placeholders/event-default.png,查看演出,https://map.baidu.com/search/三喜剧场(曼联梦剧场店),https://www.baidu.com/s?wd=三喜剧场(曼联梦剧场店) 【前门脱口秀】爆笑解压专场,needs_check,72
aud-上班族-event-209,上班族,event,精品脱口秀《喜剧专场》,喜剧脱口秀,北京市,爱笑喜剧三里屯店1号厅,2026-05-04 18:00（一）,爱笑喜剧三里屯店1号厅 · 脱口秀。晚间场次更适合下班后放松和社交。,晚间场次更适合下班后放松和社交。,下班后; 轻松社交; 夜间演出,/assets/placeholders/event-default.png,查看演出,https://map.baidu.com/search/爱笑喜剧三里屯店1号厅,https://www.baidu.com/s?wd=爱笑喜剧三里屯店1号厅 精品脱口秀《喜剧专场》,needs_check,72
